ticker,date,logit_price,news,outcome_up
MSFT,2017-05-02,-0.14971547919086042,0.6406259523154999,False
MSFT,2017-05-09,0.07643543468195269,0.3228258018658129,True
MSFT,2017-05-16,0.30426634242093403,-0.9976495794625451,False
MSFT,2017-05-23,0.3763405024859242,-0.3830057827868132,True
MSFT,2017-05-31,0.24975573558064554,0.19470742109015599,True
MSFT,2017-06-07,0.2003634403580566,0.08256477442026115,False
MSFT,2017-06-14,0.5801523276530888,0.17155612653757768,False
MSFT,2017-06-21,0.5668915430224567,0.3605571106636627,False
MSFT,2017-06-28,0.5552264664700114,-0.6037989436879705,False
MSFT,2017-07-06,0.384504107464563,-0.13871905091919137,True
MSFT,2017-07-13,0.20967529470242094,0.6143495549155598,True
MSFT,2017-07-20,0.07585688228594675,0.5269752575698375,False
MSFT,2017-07-27,0.10787088547805691,0.32166531452216035,False
MSFT,2017-08-03,0.39011694341892755,-0.06956145139219816,False
MSFT,2017-08-10,0.5676095284522422,0.19544725414215533,True
MSFT,2017-08-17,0.46728683695163187,-0.060610961592907034,True
MSFT,2017-08-24,0.48846254491261454,0.5208405491242971,True
MSFT,2017-08-31,0.29334847440521805,0.5643560165348274,False
MSFT,2017-09-08,0.4022775876098129,0.2735170865323511,True
MSFT,2017-09-15,0.2826340710424128,0.23193924938667965,False
MSFT,2017-09-22,0.48991962702604097,-0.28269449012218795,True
MSFT,2017-09-29,0.477274208035548,0.2690220717756817,True
MSFT,2017-10-06,0.2562273519535213,0.2512364977056734,True
MSFT,2017-10-13,0.184249175911194,0.5297867620139506,True
MSFT,2017-10-20,0.07783462803471912,0.26793834385542065,True
MSFT,2017-10-27,0.4514656712766924,0.1876491571652686,True
MSFT,2017-11-03,0.2534342384401714,0.5147178700179689,False
MSFT,2017-11-10,0.2962750324899061,0.37933207252782275,False
MSFT,2017-11-17,0.6187627232454596,0.31852474919181206,True
MSFT,2017-11-27,0.7316775607469624,0.3239897967480211,False
MSFT,2017-12-04,0.5855827185004505,0.36434613660537546,True
MSFT,2017-12-11,0.32267017824083566,0.0837353902866929,True
MSFT,2017-12-18,0.38443922805511926,-0.13745605483101844,False
MSFT,2017-12-26,0.45342791338899274,-0.4201657283419713,True
MSFT,2018-01-03,0.6708039814406834,-0.08153660248929016,True
MSFT,2018-01-10,0.4797045110880363,-0.2686381260307956,True
MSFT,2018-01-18,0.33976555258445895,0.2265936469923899,True
MSFT,2018-01-25,0.3292401794708906,0.1647307918303068,True
MSFT,2018-02-01,0.30614436569222697,-0.08718918327024826,False
MSFT,2018-02-08,0.4118122921401263,-0.19241736663902617,True
MSFT,2018-02-15,0.6600782735330968,0.1456093385407908,True
MSFT,2018-02-23,0.46173290310707676,0.23878372619028157,False
MSFT,2018-03-02,0.6399392545327158,0.17034169666954696,True
MSFT,2018-03-09,0.44645814068766815,0.2106886026748247,False
MSFT,2018-03-16,0.4648035290034196,-0.4000363349848038,False
MSFT,2018-03-23,0.7966781470475549,-0.6308882286680999,True
MSFT,2018-04-02,0.9284922957319682,-0.5386389771856811,True
MSFT,2018-04-09,0.838120606387474,0.3924064859304432,True
MSFT,2018-04-16,0.6555345020910573,0.23241354900720573,True
MSFT,2018-04-23,0.5920658250319544,0.20147986399435658,False
MSFT,2018-04-30,0.48868472149780895,-0.038644661376784774,True
MSFT,2018-05-07,0.3306811370458873,0.03152362869271184,True
MSFT,2018-05-14,0.32353268232849014,-0.15664868082952466,False
MSFT,2018-05-21,0.30308289933434,0.6635079308495839,True
MSFT,2018-05-29,0.43703650503955843,0.48986061175648543,True
MSFT,2018-06-05,0.36325630146331933,0.12555287833714424,False
MSFT,2018-06-12,0.37390881962162564,-0.5939150308567261,False
MSFT,2018-06-19,0.5086838969735752,-0.20575258303795058,False
MSFT,2018-06-26,0.5970454436514273,0.8380642839689025,False
MSFT,2018-07-03,0.6887833900555225,-0.14351908853266054,True
MSFT,2018-07-11,0.5314655770537347,0.1782701428538058,True
MSFT,2018-07-18,0.4352188784798421,0.42717409377435767,True
MSFT,2018-07-25,0.16293202213096178,0.3478701470760746,False
MSFT,2018-08-01,0.4404933390987553,0.39464608179692456,True
MSFT,2018-08-08,0.5405694099886547,-0.31006332953032906,False
MSFT,2018-08-15,0.5508557456383658,0.5542344076637765,False
MSFT,2018-08-22,0.6843300197344115,-0.9948464073681978,True
